0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/97.png HTTP/1.1" 200 80130
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/98.png HTTP/1.1" 200 39480
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/99.png HTTP/1.1" 200 56033
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/100.png HTTP/1.1" 200 8737
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/104.png HTTP/1.1" 200 515948
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/105.png HTTP/1.1" 200 18916
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/107.png HTTP/1.1" 200 554989
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/108.png HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/109.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:49 +0530] "GET /project_frontend/games HTTP/1.1" 200 6089
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:49 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:49 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:11:24 +0530] "GET /project_frontend/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:11:24 +0530] "GET /project_frontend/login HTTP/1.1" 200 6675
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:11:24 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:11:24 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:11:30 +0530] "GET /project_frontend/contactus HTTP/1.1" 200 6089
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:11:30 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:11:30 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:23:01 +0530] "GET /project_frontend/home HTTP/1.1" 200 9807
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:23:03 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:23:03 +0530] "GET /project_frontend/resources/images/galaxys8.jpg HTTP/1.1" 200 80130
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:23:03 +0530] "GET /project_frontend/resources/images/iphone%207%20plus.jpg HTTP/1.1" 200 39935
